,hometown,high school,position,status
15,"['Hometown', 'Akron, Ohio']","['School', 'Brewster Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
16,"['Hometown', 'Alpharetta, Ga.']","['School', 'Milton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
17,"['Hometown', 'Lepanto, Ark.']","['School', 'East Poinsett County High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arkansas                      ']"
18,"['Hometown', 'Hyattsville, Md.']","['School', 'Oak Hill Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
19,"['Hometown', 'Huntsville, Ala.']","['School', 'S. R. Butler High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama                       ']"
20,"['Hometown', 'Sikeston, Mo.']","['School', 'Scott County Central High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
21,"['Hometown', 'Indianapolis, Ind.']","['School', 'Lawrence North High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
22,"['Hometown', 'Cleveland, Miss.']","['School', 'East Side High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU                           ']"
23,"['Hometown', 'Raleigh, N.C.']","['School', 'Hargrave Military Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Xavier                        ']"
24,"['Hometown', 'Phoenix, Ariz.']","['School', 'Mesa High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona State                 ']"
25,"['Hometown', 'San Diego, Calif.']","['School', 'Abraham Lincoln High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
26,"['Hometown', 'Greensboro, N.C.']","['School', 'Westchester Country Day School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
27,"['Hometown', 'Philadelphia, Pa.']","['School', 'Imhotep Institute Charter High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'George Mason                  ']"
28,"['Hometown', 'Philadelphia, Pa.']","['School', 'Academy of the New Church']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Pittsburgh                    ']"
29,"['Hometown', 'Rock Island, Ill.']","['School', 'Rock Island High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Stanford                      ']"
30,"['Hometown', 'San Antonio, Texas']","['School', 'Antonian College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
31,"['Hometown', 'Missouri City, Texas']","['School', 'Dulles High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', ""St. John's                    ""]"
32,"['Hometown', 'Plainfield, N.J.']","['School', 'Montrose Christian School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova                     ']"
