Year,Rank,Hometown,High School,HS Type,Position,Status,College
2018,77,"Fairfax, Va.",Paul VI High School,private,Small Forward,Signed ,Villanova
2018,78,"Northfield, Mass.",Northfield-Mt. Hermon School,private,Power Forward,Signed ,Notre Dame
2018,79,"Normal, Ill.",Normal Community West High School,public,Center,Signed ,Oregon
2018,80,"Saint Paul, Minn.",Cretin-Derham Hall High School,private,Center,Signed ,Minnesota
2018,81,"Webster Groves, Mo.",Webster Groves High School,public,Point Guard,Signed ,Texas
2018,82,"Houston, Texas",Kinkaid School,private,Power Forward,Signed ,Ohio State
2018,83,"Youngstown, Ohio",Brewster Academy,private,Center,Signed ,West Virginia
2018,84,"New York, N.Y.",Milton Academy,private,Shooting Guard,Signed ,Stanford
2018,85,"Pickerington, Ohio",Pickerington North High School,public,Small Forward,Signed ,Indiana
2018,86,"Charleston, S.C.",Porter-Gaud School,private,Shooting Guard,Signed ,Vanderbilt
2018,87,"Clarkston, Mich.",Clarkston High School,public,Point Guard,Signed ,Michigan State
2018,88,"Owings Mills, Md.",McDonogh School,private,Shooting Guard,Signed ,Florida
2018,89,"Saint Louis, Mo.",Webster Groves High School,public,Power Forward,Signed ,Saint Louis
2018,90,"Muscatine, Iowa",Muscatine High School,public,Shooting Guard,Signed ,Iowa
2018,91,"Windsor, Conn.",Loomis Chaffee School,private,Power Forward,Committed ,Stanford
2018,92,"Upper Arlington, Ohio",Upper Arlington High School,public,Shooting Guard,Signed ,Notre Dame
2018,93,"Rock Hill, S.C.",York Prep Academy,private,Center,Signed ,Tennessee
2018,94,"Seattle, Wash.",Garfield High School,public,Power Forward,Signed ,USC
2018,95,"Kaukauna, Wis.",Kaukauna High School,public,Point Guard,Signed ,West Virginia
2018,96,"Reserve, La.",Riverside Academy,private,Point Guard,Committed ,Baylor
2018,97,"Upper Marlboro, Md.",Rock Creek Christian Academy,private,Center,Signed ,Rhode Island
2018,98,"Little Rock, Ark.",Parkview Arts & Science Magnet High,public,Power Forward,Signed ,Arkansas
2018,99,"Detroit, Mich.",East English Village Prep Academy,private,Point Guard,Signed ,Michigan
2018,100,"Torrance, Calif.",Bishop Montgomery High School,private,Shooting Guard,Signed ,UCLA
2017,1,"Seattle, Wash.",Nathan Hale High School,public,Small Forward,Signed ,Missouri
2017,2,"Harlem, N.Y.",Westtown School,private,Center,Signed ,Texas
2017,3,"Wilmington, Del.",IMG Academy,private,Point Guard,Signed ,Duke
2017,4,"Apple Valley, Minn.",Prolific Prep,private,Shooting Guard,Signed ,Duke
2017,5,"Tampa, Fla.",Tampa Catholic High School,private,Small Forward,Signed ,Kentucky
2017,6,"Las Vegas, Nev.",Findlay College Prep,private,Power Forward,Signed ,Kentucky
2017,7,"Saginaw, Mich.",La Lumiere School,private,Small Forward,Signed ,Louisville
2017,8,"San Diego, Calif.",Cathedral Catholic High School,private,Center,Signed ,UNLV
2017,9,"Los Angeles, Calif.",Oak Hill Academy,private,Power Forward,Signed ,Kansas
2017,10,"San Diego, Calif.",Foothills Christian High School,private,Point Guard,Signed ,UCLA
2017,11,"Huntsville, Ala.",Jemison High School,public,Shooting Guard,Signed ,Alabama
2017,12,"Philadelphia, Pa.",Neumann-Goretti High School,private,Point Guard,Signed ,Kentucky
2017,13,"Indianapolis, Ind.",North Central High School,public,Small Forward,Signed ,UCLA
2017,14,"Mullins, S.C.",Gray Collegiate Academy,public,Shooting Guard,Signed ,North Carolina
